target_id	length	eff_length	est_counts	tpm
ENST00000361390.2	956	609.32	147210	88572.7
ENST00000361453.3	1042	695.32	144498	76187.7
ENST00000361624.2	1542	1195.32	441896	135533
ENST00000361739.1	684	338.548	109397	118466
ENST00000361851.1	207	35.0764	1505.71	15737.5
ENST00000361899.2	681	335.548	86596.3	94613.4
ENST00000362079.2	784	437.504	120399	100890
ENST00000361227.2	346	63.0315	17475	101641
ENST00000361335.1	297	47.1493	8700	67647.5
ENST00000361381.2	1378	1031.32	227526	80880.8
ENST00000361567.2	1812	1465.32	136954	34265
ENST00000361681.2	525	187.36	19548	38250.1
ENST00000361789.2	1141	794.32	102517	47316
